id,title,description,availability,condition,price,link,image_link,brand,product_type,custom_label_0,custom_label_1,custom_label_2
"HFM","North by Honeywell, 5500 Series Industrial Half Face Mask, Part No: 550030M","North 5500 series half mask converts to PAPR or supplied-air respirator. It is latex-free. The lower head straps are adjustable accordingly, whereas the upper head straps provide secure support. Extra padding is in the sealing areas for better comfort and support. There is more support around the chin area and more flexibility on the nose bridge. The sealing area is widened and contoured for a great fit. SKU: HFM. Unit: Pcs.","in stock","new","82.00 AED","https://www.xpertonecreative.com/products/north-by-honeywell-5500-series-industrial-half-face-mask-part-no-550030m/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/HFM.png","Xpertone Creative","Hearing & Respiratory > Reusable Half Masks","Hearing & Respiratory","Reusable Half Masks","Pcs"
"COP","North by Honeywell, Organic Vapour & Acid Gas Respirator Cartridge, Part No: N75003L","Organic Vapor / Acid Gas Respirator Low Profile Cartridge. These Honeywell North Safety respirators are NIOSH approved. They are great for use against organic vapors and acid gasses, such as chlorine, hydrogen chloride, sulfur dioxide, hydrogen fluoride, hydrogen sulfide and chlorine dioxide. This article comes in a set. If you order a carton, there will be 18 sets. These respirators are manufactured in Mexico. SKU: COP. Unit: Set.","in stock","new","39.00 AED","https://www.xpertonecreative.com/products/north-by-honeywell-organic-vapour-acid-gas-respirator-cartridge-part-no-n75003l/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/COP.png","Xpertone Creative","Hearing & Respiratory > Respirator Filters & Cartridges","Hearing & Respiratory","Respirator Filters & Cartridges","Set"
"HRK","North Safety by Honeywell, Multi Purpose Gas & Vapour Respirator Cartridge, Part No: 75SCL","Multi-Purpose Gas & Vapour Respirator Cartridges from the brand North by Honeywell is an ideal organic vapor. It offers protection against Chlorine, Hydrogen Chloride, Sulfer Dioxide, Hydrogen Sulfide (Escape), Hydrogen Fluoride, Chlorine Dioxide, Ammonia, Methylamine and Formaldehyde. You can stay safe while you work and not worry about getting irritated by these fumes. There are 18 sets in every carton. SKU: HRK. Unit: Set.","in stock","new","71.00 AED","https://www.xpertonecreative.com/products/north-safety-by-honeywell-multi-purpose-gas-vapour-respirator-cartridge-part-no-75scl/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/HRK.png","Xpertone Creative","Hearing & Respiratory > Respirator Filters & Cartridges","Hearing & Respiratory","Respirator Filters & Cartridges","Set"
"QBP","SCI, Dust Mask, 140 Gms","This dust mask is a cup-type disposable mask designed to protect you from harmful dust and other particles in the air. The show is lightweight and comfortable, making it easy to wear for extended periods. The adjustable nose clip ensures a tight seal, protecting against dust and other airborne contaminants. SKU: QBP. Unit: 50 Pcs Per Mono.","in stock","new","20.00 AED","https://www.xpertonecreative.com/products/sci-dust-mask-140-gms/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/QBP.png","Xpertone Creative","Hearing & Respiratory > Disposable Respirators & Dust Masks","Hearing & Respiratory","Disposable Respirators & Dust Masks","50 Pcs Per Mono"
"ABH","Vaultex Ultra Pro, A1 Filter for Dual Filter Half Mask, Part No: V-7800","Hearing & Respiratory supplied by Xpertone Creative in Dubai and across the UAE. SKU: ABH. Unit: Set.","in stock","new","29.00 AED","https://www.xpertonecreative.com/products/vaultex-ultra-pro-a1-filter-for-dual-filter-half-mask-part-no-v-7800/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/ABH.png","Xpertone Creative","Hearing & Respiratory > Respirator Filters & Cartridges","Hearing & Respiratory","Respirator Filters & Cartridges","Set"
"RKV","Vaultex Ultra Pro, ABEK1 Filter for Dual Filter Half Mask, Part No: V-7800","Hearing & Respiratory supplied by Xpertone Creative in Dubai and across the UAE. SKU: RKV. Unit: Set.","in stock","new","50.00 AED","https://www.xpertonecreative.com/products/vaultex-ultra-pro-abek1-filter-for-dual-filter-half-mask-part-no-v-7800/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/RKV.png","Xpertone Creative","Hearing & Respiratory > Respirator Filters & Cartridges","Hearing & Respiratory","Respirator Filters & Cartridges","Set"
"VPC","Vaultex, Corded Earplug","Corded Ear Plug from the brand Vaultex is crafted from soft, hypoallergenic PU foam material. The red PVC cord offers convenience and also prevents the loss of earplugs. The tapered design of the plugs offers easy insertion and removal. It gently expands and self adjusts to all sizes of ear canals. The wearer gets excellent noise reduction. SKU: VPC. Unit: 100 Pairs Per Mono.","in stock","new","86.00 AED","https://www.xpertonecreative.com/products/vaultex-corded-earplug/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/VPC.png","Xpertone Creative","Hearing & Respiratory > Earplugs","Hearing & Respiratory","Earplugs","100 Pairs Per Mono"
"NDG","Vaultex, Earmuff, SNR 31 db, Part No: FM-1","The NDG Insulated Plastic Earmuff is an industrial-grade hearing protection device designed to offer excellent noise reduction, with an SNR of 31dB. The earmuff features a wide, soft cushion that is easily disassembled for cleaning and an adjustable headband made of dielectric, industrial-grade composite material. The earmuff is designed to be compatible with other personal protective equipment and offers no direct air leaks into the ear cup for higher attenuation. SKU: NDG. Unit: Pcs.","in stock","new","30.00 AED","https://www.xpertonecreative.com/products/vaultex-earmuff-snr-31-db-part-no-fm-1/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/NDG.png","Xpertone Creative","Hearing & Respiratory > Earmuffs","Hearing & Respiratory","Earmuffs","Pcs"
"BPK","Vaultex, FFP2 Respirator Flat Fold Type with Valve","The BPK FFP2 Particulate Flat Fold Respirator with Valve is a 4-layered mask made from non-woven, melt-blown fabric and a polyester shell in black color. It is anti-bacterial, anti-fog, anti-dust, and anti-droplets. The show has latex-free extra soft welded earloops to prevent fatigue and irritation and an adjustable M nose clip for better fitting. SKU: BPK. Unit: 20 Pcs Per Mono.","in stock","new","46.00 AED","https://www.xpertonecreative.com/products/vaultex-ffp2-respirator-flat-fold-type-with-valve/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/BPK.png","Xpertone Creative","Hearing & Respiratory > Disposable Respirators & Dust Masks","Hearing & Respiratory","Disposable Respirators & Dust Masks","20 Pcs Per Mono"
"FUN","Vaultex, FFP2 Respirator with Valve, Part No: 821V","Particulate Respirator (FFP2) features an adjustable M-nose clip, latex-free headbands and dual point moulded headband attachment. The shell is crafted from polyester and the nose clip is made from aluminium. This respirator contains no components made from natural rubber latex. The raw material is globally sourced and can be used against solid particulates and liquid mists. You can replace the respirator when it becomes dirty, damaged or makes breathing difficult. SKU: FUN. Unit: 10 Pcs Per Mono.","in stock","new","25.00 AED","https://www.xpertonecreative.com/products/vaultex-ffp2-respirator-with-valve-part-no-821v/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/FUN.png","Xpertone Creative","Hearing & Respiratory > Disposable Respirators & Dust Masks","Hearing & Respiratory","Disposable Respirators & Dust Masks","10 Pcs Per Mono"
"CAT","Vaultex, FFP2 Respirator with Valve, Part No: 823V","Non &ndash;Medical FFP2 Respirator with Valve (823V) originates from China and complies with EN149:2001 + A1:2009 standards. The cup type particulate respirator comes with 1 way exhalation valve. It is compatible with a variety of eyewear and hearing protection, making it an ideal mask when at the workplace. The respirator is welded with the latex-free elastic head strap. SKU: CAT. Unit: 10 Pcs Per Mono.","in stock","new","25.00 AED","https://www.xpertonecreative.com/products/vaultex-ffp2-respirator-with-valve-part-no-823v/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/CAT.png","Xpertone Creative","Hearing & Respiratory > Disposable Respirators & Dust Masks","Hearing & Respiratory","Disposable Respirators & Dust Masks","10 Pcs Per Mono"
"MAP","Vaultex, FFP2 Respirator with Valve, Part No: 828V","Non-Medical FFP2 Respirator with Valve (828V) from Vaultex features cup type particulate respirator with Valve. It has an adjustable nose clip with a PVC nose seal. The product is compatible with a variety of eyewear & hearing protection. You also get a butterfly clip attachment & elastic head strap. There are 10 pieces per mono and 20 mono per carton. SKU: MAP. Unit: 10 Pcs Per Mono.","in stock","new","32.00 AED","https://www.xpertonecreative.com/products/vaultex-ffp2-respirator-with-valve-part-no-828v/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/MAP.png","Xpertone Creative","Hearing & Respiratory > Disposable Respirators & Dust Masks","Hearing & Respiratory","Disposable Respirators & Dust Masks","10 Pcs Per Mono"
"HIT","Vaultex, FFP2 Respirator, Part No: 823","FFP2 Cup Shaped Respirator (Non-Medical) from the brand Vaultex features a dual elasticated welded head strap and a soft nose foam. The product is compatible with a variety of protective eyewear and hearing protection. This way, you can work more efficiently and with the least amount of distractions, knowing that your face and hearing is safe. It can be used by people working in various operations. SKU: HIT. Unit: 20 Pcs Per Mono.","in stock","new","34.00 AED","https://www.xpertonecreative.com/products/vaultex-ffp2-respirator-part-no-823/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/HIT.png","Xpertone Creative","Hearing & Respiratory > Disposable Respirators & Dust Masks","Hearing & Respiratory","Disposable Respirators & Dust Masks","20 Pcs Per Mono"
"VMK","Vaultex, KN95 Respirator With Valve, Cup Type, Non-Medical Use","VMK by vaultex is a K95 Cup-shaped Particulate Respirator with a valve. It is manufactured with QC pass following quality & hygiene standards. It is crafted with an Adjustable Nose Clip, Dual- Elasticated Welded Head Strap, Soft nose foam that makes it comfortable to wear. This mask can be worn with a variety of protective eyewear & hearing protection. In addition, VMK comes with a One-Way Exhalation Valve. SKU: VMK. Unit: 10 Pcs Per Mono.","in stock","new","24.00 AED","https://www.xpertonecreative.com/products/vaultex-kn95-respirator-with-valve-cup-type-non-medical-use/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/VMK.png","Xpertone Creative","Hearing & Respiratory > Disposable Respirators & Dust Masks","Hearing & Respiratory","Disposable Respirators & Dust Masks","10 Pcs Per Mono"
"VPU","Vaultex, Uncorded Earplug","Are you looking for uncorded earplugs that provide a comfortable seal without pressure? If yes, then you must invest in Vaultex&rsquo;s Uncorded Ear Plug. The soft, hypoallergenic PU foam material offers excellent noise reduction and the tapered design offers easy insertion and removal. The smooth surface remains dirt-free, giving you utmost hygiene. The pair is packed in an individual polybag. SKU: VPU. Unit: 200 Pairs Per Mono.","in stock","new","90.00 AED","https://www.xpertonecreative.com/products/vaultex-uncorded-earplug/","https://www.xpertonecreative.com/assets/img/products/hearing-respiratory/VPU.png","Xpertone Creative","Hearing & Respiratory > Earplugs","Hearing & Respiratory","Earplugs","200 Pairs Per Mono"
"V-CN95","Venus, Respirator Mask, Cup Style","Hearing & Respiratory supplied by Xpertone Creative in Dubai and across the UAE. SKU: V-CN95. Unit: Mono.","in stock","new","36.00 AED","https://www.xpertonecreative.com/products/venus-n95-mask-cup-style/","https://www.xpertonecreative.com/assets/img/products/clean-reference/hearing-respiratory/V-CN95.webp?v=20260916exact","Xpertone Creative","Hearing & Respiratory > Disposable Respirators & Dust Masks","Hearing & Respiratory","Disposable Respirators & Dust Masks","Mono"
"ACB","Armstrong, Chin Strap with Cup, Blue & White Color","Head Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: ACB. Unit: Pcs.","in stock","new","21.00 AED","https://www.xpertonecreative.com/products/armstrong-chin-strap-with-cup-blue-white-color/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/ACB/1789068627285-ACB.jpg","Xpertone Creative","Head Protection > Helmet Accessories","Head Protection","Helmet Accessories","Pcs"
"KEH","Bump Cap, D2065","Head Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: KEH. Unit: Pcs.","in stock","new","35.00 AED","https://www.xpertonecreative.com/products/bump-cap-d2065/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/KEH/1789068017490-KEH.png","Xpertone Creative","Head Protection > Bump Caps","Head Protection","Bump Caps","Pcs"
"JHM","Bump Cap, Part No: HP1000","Head Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: JHM. Unit: Pcs.","in stock","new","34.00 AED","https://www.xpertonecreative.com/products/bump-cap-part-no-hp1000/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/JHM/1789068034085-JHM.png","Xpertone Creative","Head Protection > Bump Caps","Head Protection","Bump Caps","Pcs"
"ESO","Bump Cap, Part No: HP1001","Head Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: ESO. Unit: Pcs.","in stock","new","34.00 AED","https://www.xpertonecreative.com/products/bump-cap-part-no-hp1001/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/ESO/1789068049307-ESO.png","Xpertone Creative","Head Protection > Bump Caps","Head Protection","Bump Caps","Pcs"
"CDA","Bump Cap, Part No: HP1002","Head Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: CDA. Unit: Pcs.","in stock","new","34.00 AED","https://www.xpertonecreative.com/products/bump-cap-part-no-hp1002/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/CDA/1789068064761-CDA.png","Xpertone Creative","Head Protection > Bump Caps","Head Protection","Bump Caps","Pcs"
"KPY","Face Shield","This Face Shield is a great product if you are looking for protection against droplets and dust. It can be used at your place of work or anywhere else you seek this kind of protection. The lens does not fog and its adjustable elastic head strap can adjust to any head size without causing discomfort. The product is extremely lightweight. SKU: KPY. Unit: Pcs.","in stock","new","20.00 AED","https://www.xpertonecreative.com/products/vaultex-face-shield/","https://www.xpertonecreative.com/assets/img/products/clean-reference/helmets/KPY.webp?v=20260916exact","Xpertone Creative","Head Protection > Face Shields & Windows","Head Protection","Face Shields & Windows","Pcs"
"MRO","Fibre Metal by Honeywell, Face Shield Window, Part No: 4178CL","Injection moulded from propionate and pre-formed at the factory, Honeywell&rsquo;s Fibre-Metal 4178CL Face Shield Window offers high performance. It is exactly curved like our crown that allows easy installation, creating a perfect fit and seal against dust, dirt and debris. Its .060&rdquo; thickness provides an extra margin of protection compared to an ordinary .04&rdquo; thick window. It protects the user&rsquo;s eyes and face from flying debris, particles etc. SKU: MRO. Unit: Pcs.","in stock","new","35.00 AED","https://www.xpertonecreative.com/products/fibre-metal-by-honeywell-face-shield-window-part-no-4178cl/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/MRO/1789068092590-MRO.png","Xpertone Creative","Head Protection > Face Shields & Windows","Head Protection","Face Shields & Windows","Pcs"
"PNB","North by Honeywell, Welding Helmet Gamador, Size: 51x108 Unassembled X10, Part No: 810404.74","SLOVAKIA MADE This Focus Holland Gamador Welding Helmet is intended to provide maximum protection during intense welding activities. It's made of PA6 polyamide thermoplastic, which has flame-retardant and reinforcing additives. With exceptional dimensional stability under heat, this helmet can be relied upon. When exposed to heat, it is flame-retardant and heat resistant up to 400 degrees Fahrenheit, with no dripping off or residual burning of the shell. SKU: PNB. Unit: Pcs.","in stock","new","107.00 AED","https://www.xpertonecreative.com/products/north-by-honeywell-welding-helmet-gamador-size-51x108-unassembled-x10-part-no-810404-74/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/PNB/1789068105747-PNB.png","Xpertone Creative","Head Protection > Welding Helmets","Head Protection","Welding Helmets","Pcs"
"GOA","Unassemble Face Shield with Eyewear Frame","Are you in search of a Face Shield With Eyewear Frame? Then this is the product that you can benefit from. The face shield comes unassembled. Its design is such that it offers great protection against droplets and dust. Being lightweight, doesn&rsquo;t put unnecessary pressure or weight on your face that you might get uncomfortable with. SKU: GOA. Unit: Pcs.","in stock","new","21.00 AED","https://www.xpertonecreative.com/products/unassemble-face-shield-with-eyewear-frame/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/GOA/1789068120678-GOA.png","Xpertone Creative","Head Protection > Face Shields & Windows","Head Protection","Face Shields & Windows","Pcs"
"LGB","Vaultex Lite, Safety Helmet with Chin Strap","The LGB Safety Helmet manufactured by VAULTEX is the ultimate fit for the professionals to ensure head protection at the workplace. With a High Point Polyethylene shell and soft Foam sweatband it is the perfect option for all weather conditions.These are designed to provide you with the best protection when working in high-risk environments .Our 6 point design offers a comfortable headband, multiple color options, and your brand logo customization. SKU: LGB. Unit: Pcs.","in stock","new","25.00 AED","https://www.xpertonecreative.com/products/vaultex-lite-safety-helmet-with-chin-strap/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/LGB/1789068914232-LGB.png","Xpertone Creative","Head Protection > Industrial Safety Helmets","Head Protection","Industrial Safety Helmets","Pcs"
"ORT","Vaultex, Vented Helmet with Textile Suspension","Head Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: ORT. Unit: Pcs.","in stock","new","26.00 AED","https://www.xpertonecreative.com/products/vaultex-vented-helmet-with-textile-suspension-1/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/ORT/1789068953621-ORT.png","Xpertone Creative","Head Protection > Industrial Safety Helmets","Head Protection","Industrial Safety Helmets","Pcs"
"ADC","Vaultex, Bump Cap","Are you looking for good quality caps that will keep your head covered and add style to your attire? If yes, then bump cap from Vaultex will certainly interest you. The product has been crafted in China and is available in an array of colours, such as black, green, grey, navy blue, orange, pink, red, royal blue, yellow. SKU: ADC. Unit: Pcs.","in stock","new","31.00 AED","https://www.xpertonecreative.com/products/vaultex-bump-cap/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/ADC/1789068977951-ADC.png","Xpertone Creative","Head Protection > Bump Caps","Head Protection","Bump Caps","Pcs"
"VHRT","Vaultex, Helmet Ratchet Type with Textile Suspension","VHRT Ratchet safety helmets are made of the highest quality materials and manufactured by the skilled professionals VAULTEX. Durable and lightweight, our helmets offer you a comfortable and convenient way to stay safe on the job. With a wide variety of colors to choose from, you're sure to find one that suits your needs. With High Point Polyethylene shell and soft Foam sweatband it is the perfect option for all weather conditions SKU: VHRT. Unit: Pcs.","in stock","new","27.00 AED","https://www.xpertonecreative.com/products/vaultex-helmet-ratchet-type-with-textile-suspension/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/VHRT/1789069237665-VHRT.png","Xpertone Creative","Head Protection > Industrial Safety Helmets","Head Protection","Industrial Safety Helmets","Pcs"
"VHVR","Vaultex, Helmet Ratchet Type with Ventilation","VHVR Ratchet safety helmets are made of the highest quality materials and manufactured by the skilled professionals VAULTEX. Durable and lightweight, our helmets offer you a comfortable and convenient way to stay safe on the job. With a wide variety of colors to choose from, you're sure to find one that suits your needs. With High Point Polyethylene shell and soft Foam sweatband it is the perfect option for all weather conditions. SKU: VHVR. Unit: Pcs.","in stock","new","27.00 AED","https://www.xpertonecreative.com/products/vaultex-helmet-ratchet-type-with-ventilation/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/VHVR/1789069251463-VHVR.png","Xpertone Creative","Head Protection > Industrial Safety Helmets","Head Protection","Industrial Safety Helmets","Pcs"
"ABU","Vaultex, Helmet Ratchet Type with Ventilation and Textile Suspension","The ABU is a ventilated safety helmet with a textile suspension and reflective strips for visibility. It features a ratchet-type lock with 6 points textile suspension, a foam sweatband, ventilation, and a short brim for a broader field of view. The helmet is made of high-density polyethylene (HDPE) and is available in blue, orange, white, and yellow colors. The size of the helmet can be adjusted from 51 cm to 62 cm. SKU: ABU. Unit: Pcs.","in stock","new","32.00 AED","https://www.xpertonecreative.com/products/vaultex-helmet-ratchet-type-with-ventilation-and-textile-suspension-1/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/ABU/1789069134344-ABU.png","Xpertone Creative","Head Protection > Industrial Safety Helmets","Head Protection","Industrial Safety Helmets","Pcs"
"VH","Vaultex, Helmet with Plastic Suspension","The VH Safety Helmet with plastic suspension and pin lock manufactured by VAULTEX. With a High Point Polyethylene shell and soft Foam sweatband it is the perfect option for all weather conditions. Safety helmets are designed to provide you with the best protection when working in high-risk environments. Our 6 point design offers a comfortable headband, multiple color options, and your choice in logo customization. SKU: VH. Unit: Pcs.","in stock","new","26.00 AED","https://www.xpertonecreative.com/products/vaultex-helmet-with-plastic-suspension/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/VH/1789069268162-VH.png","Xpertone Creative","Head Protection > Industrial Safety Helmets","Head Protection","Industrial Safety Helmets","Pcs"
"VHT","Vaultex, Helmet with Textile Suspension","VHT safety helmets are made of the highest quality materials and manufactured by the skilled professionals at VAULTEX. Durable and lightweight, our helmets offer you a comfortable and convenient way to stay safe on the job. With a wide variety of colors to choose from, you're sure to find one that suits your needs. SKU: VHT. Unit: Pcs.","in stock","new","27.00 AED","https://www.xpertonecreative.com/products/vaultex-helmet-with-textile-suspension/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/VHT/1789069162875-VHT.png","Xpertone Creative","Head Protection > Industrial Safety Helmets","Head Protection","Industrial Safety Helmets","Pcs"
"VHV","Vaultex, Helmet with Ventilation","VHV safety helmets are made of the highest quality materials and manufactured by the skilled professionals at VAULTEX. The Ventilated Safety Helmet with plastic suspension and pin lock is the ultimate fit for the active person who does not want to sacrifice the protection their head deserves for the awesome fit and look SKU: VHV. Unit: Pcs.","in stock","new","27.00 AED","https://www.xpertonecreative.com/products/vaultex-helmet-with-ventilation/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/VHV/1789069298963-VHV.png","Xpertone Creative","Head Protection > Industrial Safety Helmets","Head Protection","Industrial Safety Helmets","Pcs"
"YOL","Vaultex, Yellow Full Brim Cap With Reflective","Head Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: YOL. Unit: Pcs.","in stock","new","27.00 AED","https://www.xpertonecreative.com/products/vaultex-yellow-full-brim-cap-with-reflective/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/YOL/1789069192477-YOL.png","Xpertone Creative","Head Protection > Full-Brim Protective Headwear","Head Protection","Full-Brim Protective Headwear","Pcs"
"EJM","WorkLand, No Warranty 2PC Rain Suit, Green Color","Rain Suit PVC from the brand Workland is a product that is crafted from PVC/Polyester material which is of 0.4 mm thickness. It is ideal wear in wet areas or on rainy days when you expect to stay dry throughout. It comes with 2 flap pockets that you can use to keep your valuables safe from moisture. SKU: EJM. Unit: Pcs.","in stock","new","32.00 AED","https://www.xpertonecreative.com/products/workland-2pc-rain-suit-green-color/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/EJM/1789041856705-EJM.png","Xpertone Creative","Rainwear & Marine > Protective Coverall","Rainwear & Marine","Protective Coverall","Pcs"
"LRK","Workland, No Warranty 2PC Rain Suit, Yellow Color","Coverall has become a necessity in the present day. Whether one is stepping out to get chores done or working various industries, coverall keeps one protected at all times. This RAIN SUIT PVC from Workland is a great product for those who want optimum protection. It is 0.4 mm thick and crafted from PVC/Polyester material to keep the germs away. The product comes with two flap pockets. SKU: LRK. Unit: Pcs.","in stock","new","32.00 AED","https://www.xpertonecreative.com/products/workland-2-pc-rain-suit-yellow-color/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/LRK/1789041930251-LRK.png","Xpertone Creative","Rainwear & Marine > Protective Coverall","Rainwear & Marine","Protective Coverall","Pcs"
"OUC","Workland, No Warranty Rain Coat, Green Color","Workland&rsquo;s RAIN COAT PVC is ideal for the outdoors. It helps to stay dry at all times, without facing any inconveniences. The product features PVC/Polyester material, 0.4mm thickness and 2 flap pockets. You can use it again and again in the rainy season as the water slips right off. The convenience is high and the product is at par with international standards. SKU: OUC. Unit: Pcs.","in stock","new","31.00 AED","https://www.xpertonecreative.com/products/workland-rain-coat-green-color/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/OUC/1789041986288-OUC.png","Xpertone Creative","Rainwear & Marine > Protective Coverall","Rainwear & Marine","Protective Coverall","Pcs"
"KWA","Workland, No Warranty Rain Coat, Yellow Color","Want to keep your good clothes protected from rain when you step out? Do you wish to reach your place of work dry and fresh? Then you must invest in RAIN COAT PVC from the brand Workland. It is crafted with consideration so that you stay dry even in the pouring rain. 2 flap pockets will keep your phone protected. SKU: KWA. Unit: Pcs.","in stock","new","31.00 AED","https://www.xpertonecreative.com/products/workland-rain-coat-yellow-color/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/KWA/1789045036673-KWA.png","Xpertone Creative","Rainwear & Marine > Protective Coverall","Rainwear & Marine","Protective Coverall","Pcs"
"VOA","Armstrong, SBP Ankle Protective Footwear","Safety Shoes supplied by Xpertone Creative in Dubai and across the UAE. SKU: VOA. Unit: Pair.","in stock","new","51.00 AED","https://www.xpertonecreative.com/products/armstrong-sbp-ankle-protective-footwear-1/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/VOA/1789064407048-VOA.png","Xpertone Creative","Safety Shoes > High-Ankle Safety Boots","Safety Shoes","High-Ankle Safety Boots","Pair"
"OXP","Armstrong, SBP High Ankle Protective Footwear","Safety Shoes supplied by Xpertone Creative in Dubai and across the UAE. SKU: OXP. Unit: Pair.","in stock","new","65.00 AED","https://www.xpertonecreative.com/products/armstrong-sbp-high-ankle-protective-footwear-6/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/OXP/1789064455550-OXP.png","Xpertone Creative","Safety Shoes > High-Ankle Safety Boots","Safety Shoes","High-Ankle Safety Boots","Pair"
"LMV","Armstrong, SBP High Ankle Protective Footwear, Black Color","Safety Shoes supplied by Xpertone Creative in Dubai and across the UAE. SKU: LMV. Unit: Pair.","in stock","new","47.00 AED","https://www.xpertonecreative.com/products/armstrong-sbp-high-ankle-protective-footwear-black-color-2/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/LMV/1789064489943-LMV.png","Xpertone Creative","Safety Shoes > High-Ankle Safety Boots","Safety Shoes","High-Ankle Safety Boots","Pair"
"DJG","Armstrong, SBP Low Ankle Protective Footwear","Safety Shoes supplied by Xpertone Creative in Dubai and across the UAE. SKU: DJG. Unit: Pair.","in stock","new","70.00 AED","https://www.xpertonecreative.com/products/armstrong-sbp-low-ankle-protective-footwear-2/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/DJG/1789064501621-DJG.png","Xpertone Creative","Safety Shoes > Low-Ankle Safety Shoes","Safety Shoes","Low-Ankle Safety Shoes","Pair"
"QKM","Armstrong, SBP Low Ankle Protective Footwear, Black Color","Safety Shoes supplied by Xpertone Creative in Dubai and across the UAE. SKU: QKM. Unit: Pair.","in stock","new","47.00 AED","https://www.xpertonecreative.com/products/vaultex-sb-low-ankle-protective-footwear-black-color/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/QKM/1789064513513-QKM.png","Xpertone Creative","Safety Shoes > Low-Ankle Safety Shoes","Safety Shoes","Low-Ankle Safety Shoes","Pair"
"CMG","Armstrong, SBP Low Ankle Protective Footwear, Blue, Red and Grey Color","Safety Shoes supplied by Xpertone Creative in Dubai and across the UAE. SKU: CMG. Unit: Pair.","in stock","new","49.00 AED","https://www.xpertonecreative.com/products/armstrong-sbp-low-ankle-protective-footwear-blue-red-and-grey-color-2/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/CMG/1789064527292-CMG.png","Xpertone Creative","Safety Shoes > Low-Ankle Safety Shoes","Safety Shoes","Low-Ankle Safety Shoes","Pair"
"RKP","Armstrong, SBP No Warranty High Ankle Protective Footwear","The Breathable Leather Safety Shoes RKP provide you with a fashionable look and comfortable feet to ward off workplace hazards. They are equipped with several features like oil resistant, abrasion resistant and anti-static. SKU: RKP. Unit: Pair.","in stock","new","47.00 AED","https://www.xpertonecreative.com/products/armstrong-sbp-no-warranty-high-ankle-protective-footwear-1/","https://myodfvshmusywmhdozwt.supabase.co/storage/v1/object/public/product-photos/RKP/1789064539078-RKP.png","Xpertone Creative","Safety Shoes > High-Ankle Safety Boots","Safety Shoes","High-Ankle Safety Boots","Pair"
